Category,Schedule C
Accountancy,Legal and professional services
Advertising and publicity,Advertising
Commission,Commissions and fees
Dry cleaning,Cost of Goods Sold
Education,Other expenses
Entertainment,Travel and meals - deductible meals
Fabric,Cost of Goods Sold
Haberdashery,Cost of Goods Sold
Internet services,Office expense
Machinist,Cost of Goods Sold
Office equipment,Office expense
Office supplies,Office expense
Postage,Office expense
Stationery,Office expense
Tax,Taxes and licences
Telephone,Other expenses
Travel,Travel and meals - travel
Books and publications,Other expenses
Bank charges,Other expenses
Rental,Rent or lease
Professional membership,Other expenses
Consulting,Other expenses
Legal,Legal and professional services
Pattern maker,Cost of Goods Sold
Sales,Commissions and fees
SBA Loan Repayment,Other expenses
Insurance,Insurance
Software,Office expense
Contractor,Cost of Goods Sold
