Supplier,Default category,Other categories,Count,Last date
Accessoteur Inc,Advertising and publicity,,2,2021-03-12
AirBnB,Travel,,1,2021-08-27
Amazon,Office supplies,Haberdashery,2,2018-11-16
Amazon.com,Office supplies,Office equipment;Haberdashery;Books and publications;Stationery,70,2026-06-10
American Airlines,Travel,,4,2023-03-28
Anna Gaffney,Sales,,5,2021-12-06
Apple,Internet services,Office supplies,9,2021-07-17
Apsara Silk,Fabric,,1,2020-02-15
Association for Wedding Professionals International,Professional membership,,1,2021-07-13
Atelier Lux,Machinist,,13,2018-12-24
Atlas Trimming,Haberdashery,,1,2021-12-15
August 5th Studio,Advertising and publicity,,1,2021-03-01
Avant Garde Fusion,Advertising and publicity,,2,2025-05-29
B Inspired,Books and publications,,1,2019-01-29
B&J Fabrics Inc,Fabric,,17,2024-08-19
B&Q Trimmings,Haberdashery,,1,2022-08-01
Bahamas Taxi,Travel,,2,2018-09-27
"Bed, Bath and Beyond",Office supplies,,1,2019-05-26
Belmand Villa San Michele,Advertising and publicity,,1,2020-02-10
Berenstein & Son Inc,Fabric,,3,2021-07-30
Betterchoice Fabrics,Fabric,,4,2023-09-06
Biberk Insurance,Insurance,,13,2025-02-03
Blick,Office supplies,,2,2021-05-31
Blick Art Materials,Office supplies,Stationery,2,2021-08-19
Blikis Sulley African Fabric,Fabric,,1,2019-10-01
Blue Star Silk,Fabric,,1,2020-07-09
Boothpop,Advertising and publicity,,1,2021-07-22
Botani Trimmings Inc,Haberdashery,,1,2017-07-21
Bridal Circle Inc,Advertising and publicity,,1,2018-11-23
Bridal Fabrics,Fabric,,1,2019-08-23
British Airways,Travel,,2,2023-09-04
Brocade Creations Inc,Haberdashery,,1,2021-07-29
Buyers Bespoke Supply Co,Office equipment,,1,2019-04-27
C&C Button Inc,Haberdashery,,20,2023-10-20
C&J Textiles Inc,Fabric,,5,2022-08-15
Calamo Silk Inc,Fabric,,2,2021-07-20
Capital One,Bank charges,,42,2026-03-31
CFDA,Professional membership,,1,2021-09-17
Chateau Grand,Travel,,1,2024-01-05
Cheap Fare Guru,Travel,,1,2023-03-04
Classy Fit Design Studio,Contractor,,7,2024-01-12
Colombia Opticians,Office supplies,,1,2019-05-30
Coterie Retreat,Advertising and publicity,,7,2020-03-08
Crown Services,Office equipment,,2,2018-05-12
CSA Travel Protection,Travel,,1,2017-12-28
Dani Simone,Consulting,,1,2021-03-11
Day to day textile,Fabric,,1,2019-03-11
Daytona Trimming,Haberdashery,,16,2024-03-01
Dean St Society.com,Education,,1,2019-02-01
Debbie Ade,Advertising and publicity,,1,2021-10-08
Delta,Travel,,6,2021-07-09
Delta Airlines,Travel,,3,2023-06-29
Department of Taxation and Finance,Tax,,1,2018-11-18
DGHB Shop.com,Office supplies,,1,2020-08-18
DHJ Waisters,Fabric,,1,2020-02-27
Diana Fabrics,Fabric,,25,2022-05-10
DMC Fashion Fabrics USA,Fabric,,14,2025-06-05
Doreen Chambers Interior,Office supplies,,1,2021-07-01
Downtown Hardware,Office supplies,,1,2017-06-25
Duane Reede,Office supplies,,4,2022-07-15
Dumbo Hardware,Office supplies,,1,2020-11-04
Dunkin Donuts,Office supplies,,1,2018-08-13
Easygift,Advertising and publicity,,1,2021-06-13
EBK Events,Advertising and publicity,,2,2018-08-28
EllyB Events Inc,Advertising and publicity,,4,2017-10-03
Ennui New York,Machinist,,2,2021-12-01
Envato Pty Ltd,Advertising and publicity,,1,2020-04-15
Etsy,Haberdashery,,1,2023-05-15
Eventbrite,Advertising and publicity,,1,2025-04-04
Exclusive Fabrics,Fabric,,34,2023-01-09
Extra Space,Office supplies,,56,2025-05-17
Fabric Garden,Fabric,,2,2018-04-24
Fabric38 Inc,Fabric,,1,2023-07-10
FabricHouse Inc,Fabric,,37,2025-02-10
Fabrics and Fabrics,Fabric,,1,2018-11-26
Fabricsutra,Fabric,,3,2021-12-13
Fabricsworld USA,Fabric,,1,2016-10-27
Facebook,Advertising and publicity,,6,2021-10-28
FAI Trim and Feathers,Haberdashery,,1,2022-04-11
Fashion Fabrics USA,Fabric,,1,2024-05-02
Fashion Workie,Advertising and publicity,,2,2017-04-12
Feathercraft20,Haberdashery,,2,2020-05-22
Fedex,Postage,,22,2024-06-13
Four Points by Sheraton,Travel,,1,2023-03-26
Four Seasons Atlanta,Advertising and publicity,,1,2020-02-17
Four Seasons Resort Punta Mita,Travel,,1,2023-08-24
Franklin Thompson,Advertising and publicity,,1,2021-04-01
Fromyouflowers.com,Advertising and publicity,,1,2020-05-19
Garment Racks etc,Office supplies,,1,2019-09-23
Global Express,Postage,,3,2022-08-12
Global News Inc,Books and publications,,1,2022-04-02
Global Royal Fabrics,Fabric,,2,2023-09-18
GoDaddy,Internet services,,17,2025-04-28
